,win%,Hand
0,0.512,2H 2C
1,0.334666666667,2H 3C
2,0.353333333333,2H 4C
3,0.37,2H 5C
4,0.35,2H 6C
5,0.376,2H 7C
6,0.381333333333,2H 8C
7,0.41,2H 9C
8,0.451333333333,2H TC
9,0.492,2H JC
10,0.489333333333,2H QC
11,0.526,2H KC
12,0.573333333333,2H AC
13,0.370666666667,3H 2C
14,0.558666666667,3H 3C
15,0.372666666667,3H 4C
16,0.376666666667,3H 5C
17,0.406666666667,3H 6C
18,0.402,3H 7C
19,0.415333333333,3H 8C
20,0.417333333333,3H 9C
21,0.443333333333,3H TC
22,0.473333333333,3H JC
23,0.504666666667,3H QC
24,0.512,3H KC
25,0.588666666667,3H AC
26,0.368,4H 2C
27,0.379333333333,4H 3C
28,0.597333333333,4H 4C
29,0.412666666667,4H 5C
30,0.404666666667,4H 6C
31,0.401333333333,4H 7C
32,0.414,4H 8C
33,0.434,4H 9C
34,0.469333333333,4H TC
35,0.47,4H JC
36,0.507333333333,4H QC
37,0.519333333333,4H KC
38,0.586666666667,4H AC
39,0.381333333333,5H 2C
40,0.428,5H 3C
41,0.415333333333,5H 4C
42,0.604666666667,5H 5C
43,0.431333333333,5H 6C
44,0.448,5H 7C
45,0.425333333333,5H 8C
46,0.455333333333,5H 9C
47,0.448666666667,5H TC
48,0.491333333333,5H JC
49,0.512666666667,5H QC
50,0.563333333333,5H KC
51,0.612,5H AC
52,0.389333333333,6H 2C
53,0.382,6H 3C
54,0.419333333333,6H 4C
55,0.427333333333,6H 5C
56,0.638666666667,6H 6C
57,0.456666666667,6H 7C
58,0.48,6H 8C
59,0.464666666667,6H 9C
60,0.506666666667,6H TC
61,0.491333333333,6H JC
62,0.521333333333,6H QC
63,0.55,6H KC
64,0.591333333333,6H AC
65,0.388,7H 2C
66,0.416666666667,7H 3C
67,0.418666666667,7H 4C
68,0.424,7H 5C
69,0.452,7H 6C
70,0.694666666667,7H 7C
71,0.476666666667,7H 8C
72,0.491333333333,7H 9C
73,0.508,7H TC
74,0.507333333333,7H JC
75,0.528,7H QC
76,0.573333333333,7H KC
77,0.628,7H AC
78,0.374666666667,8H 2C
79,0.406666666667,8H 3C
80,0.436666666667,8H 4C
81,0.454666666667,8H 5C
82,0.440666666667,8H 6C
83,0.483333333333,8H 7C
84,0.695333333333,8H 8C
85,0.496,8H 9C
86,0.516,8H TC
87,0.548,8H JC
88,0.546666666667,8H QC
89,0.561333333333,8H KC
90,0.634,8H AC
91,0.424,9H 2C
92,0.418,9H 3C
93,0.446,9H 4C
94,0.436666666667,9H 5C
95,0.474,9H 6C
96,0.472,9H 7C
97,0.506666666667,9H 8C
98,0.722666666667,9H 9C
99,0.528,9H TC
100,0.539333333333,9H JC
101,0.561333333333,9H QC
102,0.571333333333,9H KC
103,0.636,9H AC
104,0.452666666667,TH 2C
105,0.475333333333,TH 3C
106,0.461333333333,TH 4C
107,0.456666666667,TH 5C
108,0.478,TH 6C
109,0.488666666667,TH 7C
110,0.504,TH 8C
111,0.524666666667,TH 9C
112,0.752,TH TC
113,0.566,TH JC
114,0.578666666667,TH QC
115,0.608,TH KC
116,0.652666666667,TH AC
117,0.478666666667,JH 2C
118,0.462,JH 3C
119,0.504,JH 4C
120,0.498666666667,JH 5C
121,0.516,JH 6C
122,0.510666666667,JH 7C
123,0.529333333333,JH 8C
124,0.536,JH 9C
125,0.574666666667,JH TC
126,0.784,JH JC
127,0.590666666667,JH QC
128,0.614,JH KC
129,0.656,JH AC
130,0.490666666667,QH 2C
131,0.498666666667,QH 3C
132,0.488,QH 4C
133,0.506666666667,QH 5C
134,0.526,QH 6C
135,0.538666666667,QH 7C
136,0.553333333333,QH 8C
137,0.585333333333,QH 9C
138,0.587333333333,QH TC
139,0.611333333333,QH JC
140,0.806666666667,QH QC
141,0.628,QH KC
142,0.659333333333,QH AC
143,0.524,KH 2C
144,0.548,KH 3C
145,0.551333333333,KH 4C
146,0.555333333333,KH 5C
147,0.571333333333,KH 6C
148,0.572,KH 7C
149,0.587333333333,KH 8C
150,0.591333333333,KH 9C
151,0.626,KH TC
152,0.603333333333,KH JC
153,0.624666666667,KH QC
154,0.814666666667,KH KC
155,0.67,KH AC
156,0.564666666667,AH 2C
157,0.573333333333,AH 3C
158,0.592666666667,AH 4C
159,0.558666666667,AH 5C
160,0.588,AH 6C
161,0.61,AH 7C
162,0.608,AH 8C
163,0.604666666667,AH 9C
164,0.628666666667,AH TC
165,0.621333333333,AH JC
166,0.645333333333,AH QC
167,0.659333333333,AH KC
168,0.860666666667,AH AC
